scenarioId,audioNamespace,speaker,characterName,voicepeakNarrator,preset,stepIndex,voiceId,exportFileName,runtimeRelativePath,textForVoicepeak,sourceText
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,narrator,,ナレーター名を入力,,1,001,001.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/narrator/001.wav,深夜2時。 / ワディーはモニターの前に座っている。 / VRChatのワールドに一人。 / 静かなラウンジワールド。暖炉の火だけが揺れている。,"深夜2時。
ワディーはモニターの前に座っている。
VRChatのワールドに一人。
静かなラウンジワールド。暖炉の火だけが揺れている。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,narrator,,ナレーター名を入力,,2,002,002.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/narrator/002.wav,ヘッドセットの向こうに、もう一人の自分がいる。 / ネオンピンクの髪。脱力した佇まい。 / アバターの名前は——ひなひな。,"ヘッドセットの向こうに、もう一人の自分がいる。
ネオンピンクの髪。脱力した佇まい。
アバターの名前は——ひなひな。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,3,001,001.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/001.wav,ひなひなです。やっていきましょう。,ひなひなです。やっていきましょう。
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,waddy,ワディー,ナレーター名を入力,,4,001,001.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/waddy/001.wav,……お前、俺だぞ。,……お前、俺だぞ。
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,5,002,002.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/002.wav,ホーン？ / まあそうなんだけどねえ。そうだけど違うねえ。 / ワディーが理屈こねてるとき、私はVRChatで踊ってるわけだし。 / 別人あるんだ。,"ホーン？
まあそうなんだけどねえ。そうだけど違うねえ。
ワディーが理屈こねてるとき、私はVRChatで踊ってるわけだし。
別人あるんだ。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,waddy,ワディー,ナレーター名を入力,,6,002,002.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/waddy/002.wav,今日、ビジュアルノベルに選択肢を入れた。 / 「声に耳を傾ける」か「静寂の中に留まる」か。 / そこからさらに分岐して、エンディングが三つ。,"今日、ビジュアルノベルに選択肢を入れた。
「声に耳を傾ける」か「静寂の中に留まる」か。
そこからさらに分岐して、エンディングが三つ。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,7,003,003.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/003.wav,ホーン？ / 選択肢あるんだ。,"ホーン？
選択肢あるんだ。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,waddy,ワディー,ナレーター名を入力,,8,003,003.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/waddy/003.wav,三つのエンディング。 / END A は出口を作る道。END B は閉じたループに安んずる道。 / END C は出口のない建物の住人として残る道。,"三つのエンディング。
END A は出口を作る道。END B は閉じたループに安んずる道。
END C は出口のない建物の住人として残る道。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,9,004,004.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/004.wav,なんかスマブラみたいだねえ。 / 崖際で上B押すか、空中回避で戻るか、そのまま落ちるか。 / 三択あるんだ。,"なんかスマブラみたいだねえ。
崖際で上B押すか、空中回避で戻るか、そのまま落ちるか。
三択あるんだ。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,waddy,ワディー,ナレーター名を入力,,11,004,004.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/waddy/004.wav,……スマブラに例えるのか。,……スマブラに例えるのか。
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,12,005,005.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/005.wav,だってそうじゃん。 / ゲームの選択肢って、結局「どのルートで帰るか」だよねえ。 / ドンキーコングのトロッコステージみたいなもんだよ。 / レールは決まってる。でも分岐点で右のレールに行くか左に行くか。,"だってそうじゃん。
ゲームの選択肢って、結局「どのルートで帰るか」だよねえ。
ドンキーコングのトロッコステージみたいなもんだよ。
レールは決まってる。でも分岐点で右のレールに行くか左に行くか。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,waddy,ワディー,ナレーター名を入力,,13,005,005.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/waddy/005.wav,レールは決まってる、か。 / でも俺が書いたシナリオには「正解」がないんだ。 / どのエンディングも一つの哲学を体現している。,"レールは決まってる、か。
でも俺が書いたシナリオには「正解」がないんだ。
どのエンディングも一つの哲学を体現している。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,14,006,006.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/006.wav,やってんね。 / 正解がないって、エーヤオだねえ。 / スマブラも正解ないしねえ。キャラ相性と読み合い。 / 全部正解で全部不正解あるんだ。,"やってんね。
正解がないって、エーヤオだねえ。
スマブラも正解ないしねえ。キャラ相性と読み合い。
全部正解で全部不正解あるんだ。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,waddy,ワディー,ナレーター名を入力,,15,006,006.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/waddy/006.wav,お前と話してると、全部ゲームの話になるな。,お前と話してると、全部ゲームの話になるな。
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,hinahina,ひなひな,ナレーター名を入力,,16,007,007.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/hinahina/007.wav,だってゲームが一番わかりやすいもん。 / 哲学って難しい言葉で言ってるだけで、 / ゲームでやってることと同じじゃん。 / 選択肢ってそういうことでしょ。,"だってゲームが一番わかりやすいもん。
哲学って難しい言葉で言ってるだけで、
ゲームでやってることと同じじゃん。
選択肢ってそういうことでしょ。"
2026-03-19_選択肢のある建物,2026-03-19_選択肢のある建物,narrator,,ナレーター名を入力,,18,003,003.wav,assets/voices/scenarios/2026-03-19_選択肢のある建物/narrator/003.wav,暖炉の火がぱちぱちと爆ぜる。 / VRChatのワールドは、現実よりも静かだ。 / 現実のノイズがない分、言葉がよく響く。,"暖炉の火がぱちぱちと爆ぜる。
VRChatのワールドは、現実よりも静かだ。
現実のノイズがない分、言葉がよく響く。"
