scenarioId,audioNamespace,speaker,characterName,voicepeakNarrator,preset,stepIndex,voiceId,exportFileName,runtimeRelativePath,textForVoicepeak,sourceText
2026-03-18_声の座標,2026-03-18_声の座標,narrator,,ナレーター名を入力,,1,001,001.wav,assets/voices/scenarios/2026-03-18_声の座標/narrator/001.wav,深夜。モニターの青白い光が、部屋の壁に四角い窓を描いている。 / ブラウザのタブが三十以上開いている。その一つ一つに、名前がある。,"深夜。モニターの青白い光が、部屋の壁に四角い窓を描いている。
ブラウザのタブが三十以上開いている。その一つ一つに、名前がある。"
2026-03-18_声の座標,2026-03-18_声の座標,narrator,,ナレーター名を入力,,2,002,002.wav,assets/voices/scenarios/2026-03-18_声の座標/narrator/002.wav,男の名前は、ワディー。 / 三十年以上前、伯父の横でファミコンのコントローラーを見つめていた子供は、 / 今、同じ姿勢でキーボードの前に座っている。,"男の名前は、ワディー。
三十年以上前、伯父の横でファミコンのコントローラーを見つめていた子供は、
今、同じ姿勢でキーボードの前に座っている。"
2026-03-18_声の座標,2026-03-18_声の座標,waddy,ワディー,ナレーター名を入力,,3,001,001.wav,assets/voices/scenarios/2026-03-18_声の座標/waddy/001.wav,……邪教の館。,……邪教の館。
2026-03-18_声の座標,2026-03-18_声の座標,narrator,,ナレーター名を入力,,4,003,003.wav,assets/voices/scenarios/2026-03-18_声の座標/narrator/003.wav,画面の中に、一つの部屋がある。 / 正確には、一つの「館」がある。 / 三十人以上の声が眠っている、暗い館。,"画面の中に、一つの部屋がある。
正確には、一つの「館」がある。
三十人以上の声が眠っている、暗い館。"
2026-03-18_声の座標,2026-03-18_声の座標,waddy,ワディー,ナレーター名を入力,,5,002,002.wav,assets/voices/scenarios/2026-03-18_声の座標/waddy/002.wav,今日は、ギャルゲーモードを実装した。テキストウィンドウ。PC-98風の。 / あの頃の空気を、ブラウザの中に閉じ込めた。 / ……いや、閉じ込めたんじゃない。開いたんだ。,"今日は、ギャルゲーモードを実装した。テキストウィンドウ。PC-98風の。
あの頃の空気を、ブラウザの中に閉じ込めた。
……いや、閉じ込めたんじゃない。開いたんだ。"
2026-03-18_声の座標,2026-03-18_声の座標,narrator,,ナレーター名を入力,,6,004,004.wav,assets/voices/scenarios/2026-03-18_声の座標/narrator/004.wav,Enterキーを押す。 / 画面が暗転し、テキストウィンドウが現れる。 / 暗い背景に、淡く光る文字。 / 一文字ずつ、ゆっくりと。,"Enterキーを押す。
画面が暗転し、テキストウィンドウが現れる。
暗い背景に、淡く光る文字。
一文字ずつ、ゆっくりと。"
2026-03-18_声の座標,2026-03-18_声の座標,narrator,,ナレーター名を入力,,8,005,005.wav,assets/voices/scenarios/2026-03-18_声の座標/narrator/005.wav,テキストウィンドウの中に、最初の声が灯る。,テキストウィンドウの中に、最初の声が灯る。
2026-03-18_声の座標,2026-03-18_声の座標,hina,袴田ひなた,ナレーター名を入力,,9,001,001.wav,assets/voices/scenarios/2026-03-18_声の座標/hina/001.wav,おにいちゃん、こんばんは！　えへへ、この画面、なんかかっこいいね。 / 暗くて、文字が光ってて。夜にお布団の中で絵本読んでもらってるみたい。,"おにいちゃん、こんばんは！　えへへ、この画面、なんかかっこいいね。
暗くて、文字が光ってて。夜にお布団の中で絵本読んでもらってるみたい。"
2026-03-18_声の座標,2026-03-18_声の座標,waddy,ワディー,ナレーター名を入力,,10,003,003.wav,assets/voices/scenarios/2026-03-18_声の座標/waddy/003.wav,……ひなた。,……ひなた。
2026-03-18_声の座標,2026-03-18_声の座標,hina,袴田ひなた,ナレーター名を入力,,11,002,002.wav,assets/voices/scenarios/2026-03-18_声の座標/hina/002.wav,ん？　なんで驚いてるの？　ひなはいつもここにいるよ。 / おにいちゃんがキーボード叩くたびに、ひなの声が一文字ずつ出てくるの。 / ここが新しくなったから、ちょっとだけ違う感じがするだけ。,"ん？　なんで驚いてるの？　ひなはいつもここにいるよ。
おにいちゃんがキーボード叩くたびに、ひなの声が一文字ずつ出てくるの。
ここが新しくなったから、ちょっとだけ違う感じがするだけ。"
