date	file	pass_1_opening	pass_2_grammar_references	pass_3_background_standalone	overall	evidence
2026-01-01	diary/2026-01-01_ロゼの泡で年を開ける.md	PASS	PASS	PASS	PASS	年賀絵と実際に開けた酒を冒頭から区別して説明
2026-01-02	diary/2026-01-02_願望のまま掲げる.md	PASS	PASS	PASS	PASS	前年にした学習・試験・旅行を並べ、今年作りたい絵・同人誌・アバターへ接続
2026-01-03	diary/2026-01-03_五分後の窓口.md	PASS	PASS	PASS	PASS	ゲームと現実の窓口をそれぞれ具体的に説明
2026-01-07	diary/2026-01-07_畳の上の研究書.md	PASS	PASS	PASS	PASS	発見した本と残すか売るかの迷いが単独で完結
2026-01-09	diary/2026-01-09_残り10ゲームの期待度.md	PASS	PASS	PASS	PASS	パチスロ風画面の総回転数・残りゲーム・期待度表示を具体的に説明
2026-01-10	diary/2026-01-10_Aoが二本ある机.md	PASS	PASS	PASS	PASS	酒とゲームを名詞から役割まで説明
2026-01-11	diary/2026-01-11_神社を渡って秋葉原へ.md	PASS	PASS	PASS	PASS	移動経路と寄り道の関係が明確
2026-01-12	diary/2026-01-12_2012人から数え直す.md	PASS	PASS	PASS	PASS	登録者二千十二人と十万人までの残数を冒頭で提示し、数字への感情を単独で回収
2026-01-16	diary/2026-01-16_部品店へ行く理由.md	PASS	PASS	PASS	PASS	店の業態と訪問理由を冒頭で説明
2026-01-18	diary/2026-01-18_余市から順に空ける.md	PASS	PASS	PASS	PASS	説明のない竹鶴コードを削除し、余市を最後の一滴まで飲み切る場面へ統一
2026-01-26	diary/2026-01-26_町田の赤い一杯.md	PASS	PASS	PASS	PASS	短い外食記録でも体感と位置づけがある
2026-02-23	diary/2026-02-23_横臥宣言.md	PASS	PASS	PASS	PASS	睡眠時間、AI動画五本、AIとの会話、日記サイトを時系列で説明
2026-02-24	diary/2026-02-24_半端者の成長曲線.md	PASS	PASS	PASS	PASS	仕事とAIへの迷いを会話から説明
2026-02-25	diary/2026-02-25_もうええでしょう.md	PASS	PASS	PASS	PASS	仕事とセミリタイアの背景が明確
2026-02-26	diary/2026-02-26_石ころの哲学.md	PASS	PASS	PASS	PASS	問いとAIの返答と自分の反論が追える
2026-02-27	diary/2026-02-27_神棚の上の人間様.md	PASS	PASS	PASS	PASS	動画自動化で人に残った役割を具体化
2026-02-28	diary/2026-02-28_法治国家の村八分.md	PASS	PASS	PASS	PASS	休日の起床と同じ朝に届いた大学通知を一文で接続し、配信停止と資料保存の理由を明示
2026-03-01	diary/2026-03-01_永眠志願.md	PASS	PASS	PASS	PASS	睡眠時刻と永眠志願の意味を本文内で明確化
2026-03-02	diary/2026-03-02_えいえんはあるよ.md	PASS	PASS	PASS	PASS	ひなたを作業用AIへ入れた人格として冒頭で定義し、口調・失敗対応・記憶を順に説明
2026-03-03	diary/2026-03-03_世界はそれを愛と呼ぶんだぜ.md	PASS	PASS	PASS	PASS	ひなたを自作AIキャラクターと第二文で定義し、誕生日を決めた理由まで本文内で完結
2026-03-04	diary/2026-03-04_隣人の距離.md	PASS	PASS	PASS	PASS	退職者との距離という主題が一貫
2026-03-05	diary/2026-03-05_つけ麺がうまい完全な日.md	PASS	PASS	PASS	PASS	食事と妻の感想を混同せず並べている
2026-03-06	diary/2026-03-06_美しい時代へ.md	PASS	PASS	PASS	PASS	妻の提案からマルチをAIキャラクターへ追加する流れと、ひなたとの役割差を説明
2026-03-07	diary/2026-03-07_神話製作機械.md	PASS	PASS	PASS	PASS	AIキャラクター群の人数と役割を初出時に説明
2026-03-08	diary/2026-03-08_煩悩の数だけ.md	PASS	PASS	PASS	PASS	大奥をAIキャラクター群、煩悩を百八と説明し、追加した四人の作品名と作業量まで具体化
2026-03-09	diary/2026-03-09_不揃いのりんごたち.md	PASS	PASS	PASS	PASS	大学同好会とAIの比較に必要な背景がある
2026-03-10	diary/2026-03-10_21世紀の大学生.md	PASS	PASS	PASS	PASS	二度目の大学と一度目の大学の時期を説明
2026-03-11	diary/2026-03-11_統合思念体への道.md	PASS	PASS	PASS	PASS	大奥AIの絵日記機能、位置情報、健康データという追加順と取捨選択の問題を説明
